nombre,provincia,area,poblacion,densidad
San José,San José,44.62,288054,644571
Alajuela,Alajuela,388.43,254886,656.20
Desamparados,San José,118.26,208411,1751.31
San Carlos,Alajuela,3347.98,163745,48.91
Cartago,Cartago,287.77,147898,513.95
Pérez Zeledón,San José,1905.51,134534,70.60
Pococí,Limón,2403.49,125962,52.41
Heredia,Heredia,282.60,123616,437.42
Puntarenas,Puntarenas,1842.33,115019,62.43
Goicoechea,San José,31.50,115084,3653.46
La Unión,Cartago,44.83,99399,2217.24
Limón,Limón,1765.79,94415,53.47
San Ramón,Alajuela,1018.64,80566,79.09
Alajuelita,San José,21.17,77603,3665.71
Turrialba,Cartago,1642.67,69616,42.38
Grecia,Alajuela,141.52,65824,465.12
Curridabat,San José,15.95,65206,4088.15
Tibás,San José,8.15,64842,7956.07
Liberia,Guanacaste,1436.47,62987,43.85
Vásquez de Coronado,San José,222.20,60486,272.21
Aserrí,San José,167.10,57892,346.45
Paraíso,Cartago,411.91,57743,140.18
Sarapiquí,Heredia,2140.54,57147,26.70
Siquirres,Limón,860.19,56786,66.02
Moravia,San José,28.62,56919,1988.78
Escazú,San José,34.39,56509,1643.18
Santa Cruz,Guanacaste,1312.27,55104,41.99
Nicoya,Guanacaste,1333.68,50825,38.11
Montes de Oca,San José,15.16,49132,3240.90
Santa Ana,San José,61.42,49123,799.79
San Rafael,Heredia,48.39,45965,949.89
Oreamuno,Cartago,202.31,45473,224.77
Buenos Aires,Puntarenas,2384.22,45244,18.98
Upala,Alajuela,1580.67,43953,27.81
Naranjo,Alajuela,126.62,42713,337.33
Corredores,Puntarenas,620.60,41831,67.40
El Guarco,Cartago,167.69,41793,249.23
Guácimo,Limón,576.48,41266,71.58
Barva,Heredia,53.80,40660,755.76
Santo Domingo,Heredia,24.84,40072,1613.20
Golfito,Puntarenas,1753.96,39150,22.32
Coto Brus,Puntarenas,933.91,38453,41.17
Matina,Limón,772.64,37721,48.82
Carrillo,Guanacaste,577.54,37122,64.28
Santa Bárbara,Heredia,53.21,36243,681.13
Palmares,Alajuela,38.06,34716,912.14
Puriscal,San José,553.00,33004,59.68
Talamanca,Limón,2809.93,30712,10.93
Osa,Puntarenas,1930.24,29433,15.25
Poás,Alajuela,73.84,29199,395.44
Esparza,Puntarenas,216.80,28644,132.12
San Pablo,Heredia,7.53,27671,3674.77
Quepos,Puntarenas,543.77,26861,49.40
Mora,San José,162.04,26294,162.27
Cañas,Guanacaste,682.20,26201,38.41
Atenas,Alajuela,127.19,25460,200.17
Los Chiles,Alajuela,1358.86,23735,17.47
Belén,Heredia,12.15,21633,1780.49
San Isidro,Heredia,26.96,20633,765.32
Orotina,Alajuela,141.92,20341,143.33
Acosta,San José,342.24,20209,59.05
Flores,Heredia,6.96,20037,2878.88
Tilarán,Guanacaste,638.39,19640,30.76
Bagaces,Guanacaste,1273.49,19536,15.34
La Cruz,Guanacaste,1383.90,19181,13.86
Valverde Vega,Alajuela,120.25,18085,150.40
Abangares,Guanacaste,675.76,18039,26.69
Garabito,Puntarenas,316.31,17229,54.47
Tarrazú,San José,297.50,16280,54.72
Parrita,Puntarenas,478.79,16115,33.66
Guatuso,Alajuela,758.32,15508,20.45
Jiménez,Cartago,286.43,14669,51.21
Alvarado,Cartago,81.06,14312,176.56
Montes de Oro,Puntarenas,244.76,12950,52.91
Zarcero,Alajuela,155.13,12205,78.68
León Cortés,San José,120.80,12200,100.99
Nandayure,Guanacaste,565.59,11121,19.66
Río Cuarto,Alajuela,254.20,11074,43.56
Hojancha,Guanacaste,261.42,7197,27.53
Dota,San José,400.22,6948,17.36
San Mateo,Alajuela,125.90,6136,48.74
Turrubares,San José,415.29,5512,13.27
